Category,Assumptions,Assumption_Description,Violation_of_Assumptions,Potential_Effects,Potential_Solutions,Comment
General,Equilibrium,"SDMs often assume that species are in equilibrium (or quasi-equilibrium) with their environment in their native range. That is, suitable habitat is fully occupied or saturated (e.g., Gallien et al. 2012, Zurell et al. 2024).","Native range is restricted by biotic interactions (e.g., competition, predation, disturbances, etc.) (Richmond et al. 2010). There is increasing evidence that range-shifting species are lagging behind their climatically suitable habitat (Svenning et al. 2008), leading to suitable habitat not yet colonised (“colonisation credit”) .... Zurell et al. 2023, see also Thuiller et al. 2019, Foden et al 2007). ","Commission errors, Omission errors","Use historical range information for model training, Develop a dispersal model to best estimate the species potential dsitribution (Merow et al 2016)., Include species' ecological traits in SDMs (Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022)., Acknowledge modelers were unable to address this assumption",
General,Niche stability,"SDMs typically assume that species maintain their ecological niche (the set of environmental conditions they require to thrive) across space and time. That is, ""Ecological niche models also assume niche conservatism"" (Wiens et al. 2009, Gallien et al. 2012).","New ecological relationships in introduce range. Evolutionary or behavioral adaptation to environmental conditions. ""For instance, short-generation species are capable of rapid evolutionary change (Franks et al. 2007)."" (Wiens et al. 2009, see also (Root et al. 2003).","Potentially misrepresenting species distributions, Underprediciton of potential regions of suitability",Shorten timescale of analysis,
General,No dispersal limitation,"Species occur at all locations where habitat is suitable and can readily move to new suitable areas if they are available (e.g.,  Jeschke & Strayer 2008).",Models usually consider two extreme scenarios: full dispersal scenarios vs. no-dispersal scenarios. See also Zurell et al. 2023),"Overstimate range expansion, Understimate range expansion",Shorten timescale of analysis,
General,Biotic interactions,"""it is usually assume that biotic interations only introduce statistical ""noise"" and don't cause significant biases in the species' distribution within the study area."" (Soley et al. 2024). ""Biotic interactions are unimportant in determining geographic ranges or are constant over space and time"" (Jeschke & Strayer 2008). See also for Biotic importance (Araújo & Luoto 2007) and species interactions (Suttle et al. 2007, Poggiato et al. 2025). See also Co-occurrence is not evidence of ecological interactions (Blanchet et al. 2020).","Prominent role for species interactions in ecosystem response to climate change. ""The influence of biotic interactions on species distributions is still debated, and potential inaccuracies in data sources (e.g. metawebs, environmental covariates) could mean that including prey as additional predictors may not always enhance predictions and may sometimes degrade them."" (Poggiato et al. 2025).",Potentially reduce model performance,"Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption",
General,Species genotype & phenotype,"The genetic and phenotypic composition of species is constant over space and time."" (Jeschke & Strayer 2008).","Genetic or phenotypic changes might occur when species confront new environmental condditions. Evolutionary change does happen and sometimes even relatively fast. (Jeschke & Strayer 2008). Se also Fitzpatrick & Keller (2014), Kebede et al. (2021), Hällfors et al. (2015).",Incorrect range predicitions (Hällfors et al. 2015).,"Use trait data sets as a proxy of population phenotypic differentiation (Kebede et al. 2021; Chardon et al. 2019), Acknowledge modelers were unable to address this assumption",
General,"Understanding the ecological processes driving species distribution, abundances, etc",Model resemble full understanding of the ecological processes driving species distributions/abundances,"Species distribution dynamics (e.g., colonization and local extinction) are not included in the model.  See Vallecillo et al. 2019, Howard et al. 2023).",TBD,"Include disturbance processes
(i.e.; fire regimes) as potential predictors of changes in species
distributions (e.g.; Vallecillo et al. 2009), Acknowledge modelers were unable to address this assumption",
General,Model transferability,Models are able to accurately predict species responses under novel conditions (extrapolation). (See Charney et al. 2021).,There will be novel conditions in some geographic areas under cliamte change scenarios,TBD,"Include disturbance processes
(i.e.; fire regimes) as potential predictors of changes in species
distributions (e.g.; Vallecillo et al. 2009), Acknowledge modelers were unable to address this assumption",
General,Niche truncation,"The model must capture the entire ecological niche to be appropriately projected to other spatiotemporal contexts., ... can occur when the geographic extent used to fit the model does not include all possible conditions that compose the ecological niche of a species (Guisan et al. 2025).","When this is not the case, there is a risk that the modelled response curves of the species along environmental gradients are truncated, resulting in biased and often incorrect predictions of species distributions (Chevalier et al. 2021)  (Guisan et al. 2025)",It can lead to biased projections of species distributions under climate change (Guisan et al. 2025),"Implement Nested SDMs (N-SDMs; Guisan et al. 2025)., Calibrate models over the whole species range; then focus on regions (e.g.; Scherrer et al.  2021)., Acknowledge modelers were unable to address this assumption",
Species datasets,Misidentification,"Input data are free of substantial errors regarding taxonomic identification (e.g., Soley et al. 2024, Aubry et al. 2017, Maldonado et al. 2015).",Misidentification or errors in georeferencing,"Potentially Misrepresenting species range expansions or contractions, Distortions or inflations of inferred environmental associations","Implement partial vetting (Soley et al. 2024)., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)",
Species datasets,Comprehensiveness of survey coverage,Comprehensiveness of survey coverage,TBD,TBD,TBD,
Species datasets,Spatial positional error,"Input data are free of substantial errors regarding georeference  (e.g., Soley et al. 2024, Aubry et al. 2017, Maldonado et al. 2015). Positional error (see Gábor et al. 2019). Increaisng sample size does not overcome the effect of positional error (Gábor et al. 2019)","Misidentification or errors in georeferencing, Older records might be proned to suffer from misidentification and uncertainty in spatial georeferncing",TBD,"Implement partial vetting (Soley et al. 2024)., Remove occurrences without spatial reference, Acknowledge modelers were unable to address this assumption, Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)",
Species datasets,Occurences spatial & temporal resolution,"Spatial and temporal uncertainty smaller than the resolution of the environmental predictors  (e.g., Soley et al. 2024, Maldonado et al. 2015, Seo et al. 2008).","Mismatches in spatiotemporal scales between species and covariates datasets (e.g., Wiens et al. 2010).","""At a very fine resolution (grain), distributions may not match environmental factors closely because behavioral interactions (territoriality, social attraction) may override habitat selection (Wiens et al. 2009)."", At the coarse resolution of a broad geographic range only the most general environmental relations may emerge in correlational analyses  (Wiens et al. 2009)., Overpredicitons of potential regions of suitability",Assess apropiate scale of the analyisis (matching with covariates),
Species datasets,Species breeding status,"Categories (confirmed, probable, possible) represent true occurrences",TBD,TBD,TBD,
Species datasets,Independence of species observations,"When species observations are not independent (e.g. if spatially autocorrelated), the effective number of degrees of freedom used in many statistics associated with the models, e.g. for model selection, no longer corresponds to the apparent number of observations (Legendre, 1993; Legendre et al.2002; Crase et al.2014). Therefore, some statistics may be inaccurate or even wrong (Crase et al.2014)."" (Guisan et al. 2017). ""Residual spatial autocorrelation can be caused by various factors or processes not accounted for in the modelling, which may include extrinsic processes, such as unknown habitat characteristics (Legendre 1993), intrinsic processes, such as conspecific interactions (Wintle and Bardos 2006), or a combination of the two. (Mielke et al. 2020).",TBD,TBD,TBD,
Species datasets,Unbiased species data,"Unbiased species data refers to a non-random distribution of presence data. HSMs attempt to quantify the environmental niche of species through models, and therefore the data used to do so need to include all possible environments that represent suitable habitats for the species modeled (Guisan et al. 2017). See also: Dubos et al. (2022), Taylor et al. (2019), Vollering et al. (2019).",Bias is likely to arise when the chosen sampling design lacks a random component or when the data are gathered without employing a designed sampling strategy. (Guisan et al. 2017). Species data sets are spatially aggregated in space. Some habitats being preferentially sampled or outside others being left out based on prior knowledge or the observer’s judgment. (Guisan et al. 2017),"Potentially misrepresenting suitable habitats, Potentially misrepresenting species distributions","Implement target-group background approach (Barber et al. 2021), Implement sampling probability approach  (Barber et al. 2021), Implement weighted locality approach  (Barber et al. 2021), Acknowledge modelers were unable to address this assumption, Implement filtering (or thining ) apporach (Moudrý et al 2024; Veloz 2009;  Aiello et al. 2015)",
Species datasets,Sample size appropriate,"The effective sample size of occurrences is appropriate for the analysis (e.g., Hernandez et al. 2006, Radomski et  al. 2022)","Small sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences (Stockwell and Peterson 2002, McPherson et al. 2004). (e.g., Hernandez et al. 2006).  sample size has the most profound effect on the performance of an SDM (Thibaud et al. 2014, Santini et al. 2021). Sample size poses an important constraint to the model complexity, i.e. to the number of parameters to be estimated, as well as to the algorithms and their settings used for modelling (Moudrý et al. 2024).",TBD,"""""""It requires careful consideration of the purpose of the study"""" (Moudrý et al. 2024)"", """"""Consider species' ecology: SDMs better predict specialist species with narrow ecological niches than generalist species with wider ecological niches (Tsoar et al. 2007)"""" (Moudrý et al. 2024)"", """"""Consider the number of predictors investigated. As the ability to differentiate between influential and non-influential variables decreases with decreasing sample sizes"""" (Moudrý et al. 2024)"", """"""Consider the complexity of the shape of species response curves must be taken into account as models based on small sample sizes result in less precise estimates of these shapes (Bazzichetto et al. 2023)"""" (Moudrý et al. 2024)"", """"""Consider testing the effect of sample size"""" (Moudrý et al. 2024; see also van Proosdij et al. 2015)"", """"""Consider designing accurate SDMs with a well-balanced sampling of as few as 50 presences"""" (Moudrý et al. 2024)"", Acknowledge modelers were unable to address this assumption",
Predictors (Covariates datasets),Covariates: adequate spatial & temporal resolution,"Spatial resolution of predictors are adequate to capture species habitat requirements, distributions, etc. (e.g., Šímová et al. 2019, Rödder & Engler 2011, Bradter et al. 2012, Chauvier et al. 2022, Nadeau et al. 2016).","Mismatches in spatiotemporal scales between species and covariates datasets (e.g., Wiens et al. 2010).","It can add residual spatial autocorrelation (RSA), Decrease variance explained, Some uncertainties may be averaged out if the grain size of predicted distributions is large (Wiens et al. 2009).",TBD,
Predictors (Covariates datasets),Primary variables included in the model,"Some variables exert a primary control on the species distributions and suitable habitat (e.g., climate)",TBD,TBD,TBD,
Predictors (Covariates datasets),Reducing predictor variables irrespective of their information content,"Modeling with fewer or less correlated variables yields simpler and better models (Breiman 2001, Elith et al. 2008, Evans et al. 2013) that are not fitted to nuances in the data. (Soley et al. 2024).","There is a potential situation where two or more predictor variables in a statistical model are linearly related. However, Removing predictor variables a priori without consideration of their information content may arbitrarily discard informative data (reducing the predictive ability of the model) and does not directly address the problem of overfitting (Breiman 2001, Olden et al. 2008, Braunisch et al. 2013) (Soley et al. 2024).","It inflates the variance of regression parameters (Dormann et al. 2012)., It might potentially leads to the wrong identification of relevant predictors in a statistical model (Dormann et al. 2012)., Models trained with correlated variables are prone to error when the correlation between variables changes in model transfer scenarios. (Feng et al. 2019).","Assess spatial autocorrelation in model residuals, Use spatial autoregressive models, Use spatial eigenvector mapping, Remove collinear variables to reduce redundancy, Reduce dimenssiionality (Zhang et al. 2023), Acknowledge modelers were unable to address this assumption, Algorithms might account for redundant variables (e.g.; Feng et al. 2019)., """"""Select environmental variables for groups of species with similar natural histories"""" (Soley et al. 2024) "", Variable selection approach (Cobos et al. 2019).",
Predictors (Covariates datasets),Predictors are relevant for species distribution/abundances,"Variables included in the models do in fact reflect the niche requirements of a species"" (Wiens et al. 2009). ""All important environmental predictors required to capture the desired niche of the modeled species are assumed to be available at the resolution relevant for the organism being modeled (Guisan et al. 2017).",Unmeasured niche dimensions,"Potentially misrepresenting species densities, Potentially misrepresenting suitable habitats, Potentially misrepresenting species distributions",TBD,
Predictors (Covariates datasets),Availability and quality of data,Availability and quality of data,TBD,TBD,TBD,
Predictors (Covariates datasets),Predictors measured without error,"This issue is rarely assessed in studies of SDMs, although errors are an inherent factor in each GIS predictor layer (McInerny and Purves, Reference McInerny and Purves2011; Marion et al., 2012). Although it is essentially impossible to guarantee zero errors in mapped environmental predictors, estimates of spatial distribution of errors could be associated with each layer and used to calculate spatial uncertainty in the model predictions (Barry and Elith 2006; Van Niel and Austin 2007). There is still a need for a proper method for combining errors from the different environmental variables in the model. This might be achieved using Bayesian approaches that can account for prior knowledge and uncertainty in environmental layers (McInerny and Purves 2011; Keil et al. 2014). (Guisan et al. 2017).",TBD,TBD,TBD,
Predictors (Covariates datasets),Non-novel environmental conditions," SDMs assummes future scenarios are within the range of known enviromental conditions. That is, climatic conditions between training and introduced areas are analogous (Richmond et al. 2010)","Novel climatic conditions might occur in introduced area (Richmond et al. 2010)., Modeled responses extrapolate beyond range of valaues for environmental predicitors found in native range (Richmond et al. 2010).","Underpredicitons of potential regions of suitability, Overpredicitons of potential regions of suitability",Use a clamping procedure to limit predictions in regions with novel climatic conditions,
Predictors (Covariates datasets),Models or scenarios to calculate covariates,"Models and scenarios of climate change & LULCC repersent what is on the ground (e.g., Global circulation models-GCMs or  RCPs). See McMahon et al 2015, Cheaib et al. 2012, Thomas et al. 2004,  Thuiller et al. 2004) ","GMCs rely on multiple parameters, assumptions and downscaling and interpolation approaches that might add uncertainty to SDMs","Higher species range shifts, Lower species range shifts",TBD,
Metodological choices,Appropiate algorithm,"The algorithm selected is the ""best"" option given the data sets (species a& covariates). See Lawler et al. 2006, Shabani et al. 2016, ",Algoritnm choice does not match species occurrence data requiemerents (see Wiens et al. 2009).,"""Potential distribution of species under cliamte change (e.g., Shabani et al. 2016)""",,
Metodological choices,Training samples are representative,Training samples are representative of the enviromental conditions in native range. (Richmond et al. 2010),TBD,Underpredicitons of potential regions of suitability,Generate adequate number of random pseudo-absences points from native range,
Metodological choices,Model compexity/structure,"The choice of model complexity (e.g., linear vs. non-linear, single vs. multiple factors) can affect model accuracy and robustness (e.g., Brun et al. 2019), Merow et al. 2014).","Assumptions or simplifications made in the formulation, structure and complexity of the model.","""Overfitting (e.g., Ramampiandra et al. 2023).""",Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023).,
Metodological choices,Appropriateness of the statistical methods,"Different types of response variables require different types of statistical models (Guisan and Zimmermannn2000). For instance, semi-quantitative data require very specific modeling techniques, such as ordinal regressions (Guisan and Harrell2000). Quantitative data are easier to model and there are numerous techniques available for doing so (see Part III) but, different types of quantitative responses will still require different types of statistical models. Counts of species or of individuals usually require specifying Poisson, negative binomial, or other probability distribution functions (PDF) for discrete positive values, a requirement that can be met using several modeling techniques, such as generalized regressions (e.g. Vincent and Haworth1983) or boosted regression trees (e.g. Thuiller et al.2006; see Part III). Binary response variables, such as species’ presence–absence data, require binomial PDF and logistic transformation (e.g. the link function in GLMs and generalized additive models (GAM); see Part III) and represent by far the data for which the largest range of modeling techniques is available in ready-to-use packages. Techniques for binary response variables are also the main ones presented in this book. Once a statistical method has been chosen, it is assumed to be the right one for the data in hand. Failure to identify the correct method can lead to errors and uncertainty in the predictions (e.g. Guisan et al.2002). (Guisan et al. 2017)",TBD,TBD,TBD,
Metodological choices,Species and covariates relationships are linear,Species and covariates relationships are linear,TBD,TBD,TBD,
Metodological choices,Appropriatness of performance metrics,Appropriatness of performance metrics,"Computing AUC and TSS statistics requires the use of true absences (Guillaumot et al. 2019). When the potential distribution is the goal of the research, the AUC is not an appropriate performance measure because the weight of commission errors is much lower than that of omission errors. (Jiménez-Valverde 2011)",TBD,TBD,
Metodological choices,Uncertainty in model predictions,There is minimum variability or lack of confidence in a model's output.,"Multiple source of uncertainty: species datsets, covariates, model overparametrization, algorithms, initial conditions, rare events, stochasticity, etc.",TBD,"""""""Spend effort on reducing SDM extrapolation rather than improving model fit (e.g.; fitting species data over a broader range of environmental conditions)."""" (Brodie et al. 2022)"", Identify which uncertainties dominate your predictions (Dietze et al. 2018)., Quantify uncertainty in model predictions (e.g.; Thomas et al. 2024), Validate predictions using new data sets, ""Using a combination of multiple diverging earth system models and multiple types or parameterizations of SDMs will effectively capture uncertainty."""" (Brodie et al. 2022)."", ""Quantify uncertainty over time; as SDM uncertainty can dominate at longer time horizons (>40 years); and decadal variability can drive nondirectional trends in uncertainty."""" (Brodie et al. 2022). See also  (e.g.; Thomas et al. 2024; Morley et al. 2020).""",
Metodological choices,Background points (pseduo-absences),"Models are not sensitive to diffenrent background point selection strategies (e.g., Steen et al. 2024).",TBD,TBD,Assess predcitive performnce; using  different types of background selections. (Steen et al. 2024),
Metodological choices,Relying on default settings," Models are fairly insensitive to settings that affect their complexity; or default settings result in an acceptable parameterization regardless of biases and nuances of each input dataset.... This is especially problematic when the occurrence data are biased ..."" (Soley et al. 2024). See also, Hallgren et al. 2019, ). ",The configuration settings in SDMs is not standard and alternative to default values must be pursue.,"Potentially misrepresenting species densities, Potentially misrepresenting suitable habitats, Potentially misrepresenting species distributions, Poor transferability","Assess multiple parameterization scenarios (Soley et al. 2024; Valavi et al. 2021)., Document and explain model settings (Hallgren et al. 2019).",
