OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
1,"1",Aleutian/Bering Sea Islands,Aleutian/Bering Sea Islands,,,{E77B2D8B-5090-4D9A-85A5-655E121D0331},5681899.85724548,16841948070.9182
2,"2",Western Alaska,Western Alaska,,,{FE6A199F-EDB4-4CAC-B38A-A8895E6EBFD1},17208666.2129856,303210795266.149
3,"4",Northwestern Interior Forest,Northwestern Interior Forest,Forêt intérieure du nord-ouest,,{6A620ECA-2CE3-4549-B0CD-C34737F94E28},8006852.94480254,779425370524.205
4,"5",Northern Pacific Rainforest,Northern Pacific Rainforest,Forêt pluviale du nord du Pacifique,,{FD4EBF8C-DAED-4D7B-B711-0B86FCFB56F1},54208065.4122175,515545399757.655
5,6N,Boreal Plains,Boreal Plains,Plaines boréales,,{FD5B1204-CD1E-4CE2-B53F-671B8129A54C},7796345.58257645,744699280072.619
6,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{15B0D186-DC27-47A9-85B2-1965C6BB3B52},11556506.0024464,704573976891.611
7,8W,Boreal Softwood Shield West,Boreal Softwood Shield West,Forêt boréale du bouclier ouest,,{253BCA1B-994B-4421-92B4-8673B6029402},7895603.08550284,710325047838.779
8,"9",Great Basin,Great Basin,Grand bassin,,{82D4A42B-0C0F-4603-B1EB-AABFCCA4E950},8834908.63732687,671351830157.158
9,"10",Northern Rockies,Northern Rockies,Rocheuses du nord,,{8B40B802-E5AE-42D6-B199-03BB662DA84C},11532394.4407345,858251926333.317
10,"11",Prairie Potholes,Prairie Potholes,Fondrières des prairies,,{7D68458A-4008-481A-8B1A-EB40AD8D4DFD},9573872.12261297,795892458424.097
11,"14",Atlantic Northern Forest,Atlantic Northern Forest,Forêt septentrionale de l'Atlantique,,{B3ED0F3E-9CC5-478B-BAF8-AF72A37E3DCE},15015743.7005895,304308056130.718
12,"15",Sierra Nevada,Sierra Nevada,,,{5252D6D2-259E-4B98-92A0-D8743E3A9E0E},1603276.12207163,46761067371.3561
13,"16",Southern Rockies/Colorado Plateau,Southern Rockies/Colorado Plateau,,,{5AF38AB1-120D-4644-9147-D0274EEC48B9},6054864.17364474,458178586712.715
14,"17",Badlands And Prairies,Badlands And Prairies,,,{F3CE073E-6D0D-42DD-8FEB-EB5FB8E4B743},5143483.25603565,326567492103.059
15,"18",Shortgrass Prairie,Shortgrass Prairie,,,{6B5E62FE-67FD-44A4-B326-7B120B2F27F1},4497412.81562303,341881669581.258
16,"19",Central Mixed Grass Prairie,Central Mixed Grass Prairie,,,{1D60C42E-4C41-4415-B108-C78CAB2A15F1},4742315.84791136,352752241897.343
17,"20",Edwards Plateau,Edwards Plateau,,,{D870133B-2713-48B7-A962-F884619A17F2},1154359.19920381,53573116490.1992
18,"21",Oaks And Prairies,Oaks And Prairies,,,{0FF34980-C739-4755-92CB-2713A46B85F3},3829580.54901885,181497420051.884
19,"22",Eastern Tallgrass Prairie,Eastern Tallgrass Prairie,,,{BB17BA18-9361-45F7-B7E4-FBE447560633},6373159.26923809,457312787369.478
20,"23",Prairie Hardwood Transition,Prairie Hardwood Transition,,,{AF76A3F1-3D34-4F5D-A1BA-DF271442FCF1},5184098.99416007,228134204176.587
21,"24",Central Hardwoods,Central Hardwoods,,,{D1CF3F46-8D52-46BE-AC1D-4708A690B57E},3925862.6826368,268375103195.137
22,"25",West Gulf Coastal Plain/Ouachitas,West Gulf Coastal Plain/Ouachitas,,,{76005C39-B852-4054-B9AD-67E84E2D2277},2520920.06629254,185774051726.122
23,"26",Mississippi Alluvial Valley,Mississippi Alluvial Valley,,,{2FB3FFF4-B31B-4A78-B958-54B07B179777},2821766.18481857,98747211446.4865
24,"27",Southeastern Coastal Plain,Southeastern Coastal Plain,,,{B9792273-339E-4EA0-8857-95EA7FB4DD49},10068267.9741754,439483043133.642
25,"28",Appalachian Mountains,Appalachian Mountains,,,{A1EF65C6-6459-4E37-A26F-46683832F523},4709844.95393269,371879604766.279
26,"29",Piedmont,Piedmont,,,{207670C9-EABC-4DF5-87A7-3BE90B5D9BE0},3697603.93382181,170755863676.28
27,"30",New England/Mid-Atlantic Coast,New England/Mid-Atlantic Coast,,,{E47BADE6-46DE-4981-BAB5-00E4A0E03773},10899486.6428239,78152822974.9732
28,"31",Peninsular Florida,Peninsular Florida,,,{BD2F9F5E-7C14-4604-8D45-6A6F0A89BC83},4292715.12332295,88909687211.2788
29,"32",Coastal California,Coastal California,,Costa de California,{BEC7CB69-CC4D-4025-B0E3-51B3A0CED0E2},4351885.06635835,163785149007.259
30,"33",Sonoran And Mojave Deserts,Sonoran And Mojave Deserts,,Desierto de Sonora y Mojave,{5B6F26DC-86C0-475A-817F-B422E6EDB3B7},6383905.02049368,346614731889.266
31,"34",Sierra Madre Occidental,,,Sierra Madre Occidental,{FD1C0303-4631-4992-A46E-B2DD689309B0},10465368.5732327,401221989360.66
32,"35",Chihuahuan Desert,Chihuahuan Desert,,Desierto de Chihuahua,{8ABB0421-27B7-40F2-91C0-CDD7906946B0},5513086.78692293,532325934263.952
33,"36",Tamaulipan Brushlands,Tamaulipan Brushlands,,,{12D51510-32AC-4D7A-AF75-D633AFE6E952},2376180.54958004,156630595245.213
34,"37",Gulf Coastal Prairie,Gulf Coastal Prairie,,,{C11528D8-094A-4865-9D70-28B723F4168D},11888005.1792206,67203238113.8475
35,"38",Islas Marias,,,Islas Marias,{49B9B322-637F-471B-AE19-27B68C792DD4},199137.192985611,413083281.213728
36,"39",Sierras De Baja California,,,Sierra de Baja California,{032D0AAA-3517-4EE6-BA7E-87CABE615173},435826.076302631,3495580503.38941
37,"40",Desierto De Baja California,,,Desierto De Baja California,{94477072-0878-4A86-9155-E78A89C15ED0},4179414.61258696,90557853582.5142
38,"41",Islas Del Golfo De California,,,Islas Del Golfo De California,{5F2DEB7F-001B-4E0E-8B7A-2BFEDD7B9363},1506627.01439864,3078542285.68426
39,"42",Sierras Y Planicies Del Cabo,,,Sierras Y Planicies Del Cabo,{CF13B5DF-AEF0-4969-A1A4-B767284E6901},456287.714551733,7770963946.29627
40,"43","Planicie Costera, Lomerios Y Canones De Occidente",,,"Planicie Costera, Lomerios Y Canones De Occidente",{0FB5C4F3-A4BE-4F64-AA2A-919CB6885B93},6967558.32974299,104439676900.735
41,"44",Marismas Nacionales,,,Marismas Nacionales,{8BFDCB0E-8E43-4EFE-963B-748979F2B3BA},416607.319643488,4997873088.80772
42,"45",Planicie Costera Y Lomerios Del Pacifico Sur,,,Planicie Costera Y Lomerios Del Pacifico Sur,{3859EEA8-52F7-4281-A567-B9492C40BF8A},5510936.17894851,63066496644.2622
43,"46",Sur Del Altiplano Mexicano,,,Sur Del Altiplano Mexicano,{EEFB3D9D-4B73-449D-9B20-E9E0E9F80FBF},1420891.68803263,48027005605.989
44,"47",Eje Neovolcanico Transversal,,,Eje Neovolcanico Transversal,{F6BFC701-7F80-4ED4-B6A2-46127289B86A},3847825.67933153,127110281632.744
45,"48",Sierra Madre Oriental,,,Sierra Madre Oriental,{6F009565-DDAF-4CD7-BD73-AA93173083F9},2968226.76863832,46072942129.023
46,"49",Planicie Costera Y Lomerios Secos Del Golfo De Mexico,,,Planicie Costera Y Lomerios Secos Del Golfo De Mexico,{9F21C5CD-FAD3-4FE1-91CD-4166986A4623},1258166.82026737,28207018402.1126
47,"50",Cuenca Del Rio Balsas,,,Cuenca Del Rio Balsas,{C049A8F7-AEFE-46B8-997B-28C1E8516A45},2144077.40359059,59982836194.6916
48,"51",Valle Tehuacan-Cuicatlan,,,Valle Tehuacan-Cuicatlan,{389BABD4-E4AE-4237-97F2-A581503EF2CA},562762.564070364,5003145686.32781
49,"52",Planicie Costera Y Lomerios Humedos Del Golfo De Mexico,,,Planicie Costera Y Lomerios Humedos Del Golfo De Mexico,{F47DA7E8-9833-48BE-873E-05468321BF21},4379956.67358133,141809925923.219
50,"53",Sierra Madre Del Sur,,,Sierra Madre Del Sur,{C65B6C35-0F26-425E-BA66-1951C7BEBABB},3092301.84690961,65235704095.4961
51,"54",Sierra Norte De Puebla-Oaxaca,,,Sierra Norte De Puebla-Oaxaca,{F9FD0635-3C61-420B-9DAB-4E635ADDD5DD},1053580.12249572,15173645360.8814
52,"55",Planicie Noroccidental De Yucatan,,,Planicie Noroccidental De Yucatan,{A8F00278-D0E8-4CF7-B2D7-CAADF9A41A34},711270.340423318,14677837117.7032
53,"56",Planicie De La Peninsula De Yucatan,,,Planicie De La Peninsula De Yucatan,{B8071CF5-947D-4246-A7B8-1813EB48CC9B},2236836.398753,111313250252.236
54,"57",Isla Cozumel,,,Isla Cozumel,{59E1DC79-D3E7-40EB-8AD8-DC2B2E924BF5},116519.758485351,485815834.973306
55,"58",Altos De Chiapas,,,Altos De Chiapas,{8D25BC39-985A-4858-81C0-37123B27BA5C},613194.917413697,15918337627.4377
56,"59",Depresiones Intermontanas,,,Depresiones Intermontanas,{50138203-36ED-4624-89FF-CA405CC2D55D},698174.475300707,11924752350.5574
57,"60",Sierra Madre De Chiapas,,,Sierra Madre De Chiapas,{E607B39D-2F61-4500-8392-F638E607FE8B},904366.216229496,14006661817.7567
58,"61",Planicie Costera Del Soconusco,,,Planicie Costera Del Soconusco,{0A2F66A0-7870-4531-8F55-E5E910DEFADA},685408.702414596,8788477286.62986
59,"62",Archipielago De Revillagigedo,,,Archipielago de Revillagigedo,{7BE35850-05F3-427E-8816-502D75DF602E},98680.160067448,180182543.337554
60,"63",Isla Guadalupe,,,Isla Guadalupe,{F6335B98-09DB-471F-B993-16E5E53A529B},87986.4556067018,239949519.02241
61,"64",Arrecife Alacranes,,,Arrecife Alacranes,{0CBC0865-4F6C-4022-ADF8-A1EA28761E31},20701.5610820234,4137932.91717307
62,"65",Los Tuxtlas,,,Los Tuxtlas,{BEF81281-385B-4EDC-90DD-83E745319AAB},219482.543787686,1605603494.04438
63,"66",Pantanos De Centla-Laguna De Terminos,,,Pantanos De Centla-Laguna De Terminos,{182E53B2-6D46-48B7-B7DE-1BC00B18ADA7},900378.283699745,11391389982.2181
64,"100",Great Lakes,Great Lakes,Grands Lacs,,{4CBFDBBF-05F6-4C44-AF75-A8F1FD0E2405},14599343.0792326,217671178805.477
65,"999",Not Rated,Not Rated,,,{194109D6-8EE4-4926-96FF-82A9251033AD},1540819.87012685,16669853336.799
66,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{C2F7D56B-0EE1-4F96-885E-3147E3527395},5903927.75728965,408946664274.892
67,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{F10BFE7A-4803-4C73-B47D-509A30CAD2C4},529207.895043457,4125090477.40174
68,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{F896F465-A222-4079-905C-500FC7855B24},948461.239487253,3047579191.91177
69,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{A943F06E-5888-4E07-886F-2266778B1D00},17053.5640625169,6957358.56949864
70,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{332F4AAD-CD7F-4975-BD37-9936BA252248},592369.340060529,2992837800.50744
72,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{65CA6076-47A9-4C5A-9105-183BF0FCFC00},16408719.8218347,718130409253.607
73,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{49174ECF-F7A8-4481-B4DF-ADBD43A5640A},457707.013516708,6603167279.32782
74,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{BD4D92B1-9D15-45C1-A74D-02A5F2864810},1239124.05963699,15664749142.1428
75,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{312DD038-ADE6-430F-AEED-70377E55B818},245740.389998079,2810205629.18244
76,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{00195C74-B49E-4E8D-9DD6-B67E56081A4C},4382292.07877356,154962749641.074
77,3C,Arctic Cordillera,Arctic Cordillera,Cordillère arctique,,{E3F26C20-DE38-4817-A4DD-A5D8570C17AD},3910118.71822623,68360219058.4943
78,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{90072ED4-54F8-48D3-88B7-5171494053F0},463097.096223634,4050575864.53676
79,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{FB44411A-980D-43FF-8337-9535A707B247},379957.498375151,3918434802.18267
80,3N,Northern Arctic,Northern Arctic,Plaine artique sud,,{2E1B7B57-E693-4AE6-979E-78A79B412202},328740.376111574,2314114520.75024
81,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{FE34EF9B-0FF6-4E93-89AE-14B6D69A8E9A},403094.810075578,5174932253.05643
82,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{8A356B59-0DAD-43E7-99D0-D36F999F0933},2509960.23106402,26434035845.37
83,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{539D83E8-18B5-4A75-9CF9-9EB459A5E09A},639134.121939822,3935484143.76707
84,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{B4149E9C-C18A-4AF8-817C-0E79A311231F},218587.521004099,953105945.509306
85,3N,Northern Arctic,Northern Arctic,Plaine artique nord,,{84DB8DC2-0B71-4344-AC3D-514DFA269B94},274402.758718503,3275433424.74623
86,7W,Taiga Shield West,Taiga Shield West,Taïga du bouclier ouest,,{41C005BE-ACAF-4A16-A9C7-E0D6AC9E3B48},7410812.62014729,646966157948.923
87,7H,Hudson Plains,Hudson Plains,Plaines hudsoniennes,,{DA32CC4B-C37D-460C-B950-2F70B98881D6},6806383.41242894,348995105113.248
88,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3005624A-A604-4A4D-8251-8E82D56EFBFB},36226.4258812684,22074814.8478689
89,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6AF349B1-59D4-4A2A-B707-0B76BF5ACD09},3977.86058840254,1098646.67715506
90,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{46E09027-8EE0-4BEB-89FD-65F996FB90A2},9097.26594648017,1885910.07983727
91,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{FE0093B4-50B1-4F79-940A-FEA75481058A},3965.62580421297,873253.514482399
92,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DADF0C9D-D1B5-41C2-B757-FCC1B0A8736D},2989.61361467339,563369.13561503
93,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{C7912F5F-5609-4627-9EB3-966FBE51920C},3015.74447661343,457285.074451513
94,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{5A75CD4B-635F-49D5-A00D-5E1396187C63},5302.83036566084,1007808.97855663
95,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9FDEA91E-6683-4140-8C98-EE3B6332949C},9889.99634531715,4736684.37957125
96,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{DAC4B8E0-A4DF-42E6-A3B7-7C5DFB3EB6DC},4861.787213199,1329650.59334801
97,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{D7EDDDCE-6CDB-41E9-B256-DCBC900102DC},5736.51637119043,1265001.58519829
98,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{1C46439B-BEE3-4AA8-A7A1-1937A63C7166},2936.84820916868,471651.489712889
99,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{480695A1-ECCE-4DCE-9082-F1BB87ADCD0B},3782.76632216232,896516.464894501
100,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3C71FB32-B6ED-4CE5-A687-5CD89B9A657D},5269.59534999442,1647303.10236914
101,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{6ACFE52C-6463-4982-A221-4E438AF9F72C},4025.74403775281,730468.504416756
102,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{84233607-D854-4306-B3E3-84441D068BF9},4148.28186131372,979655.372014774
103,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{7A4EF315-D712-47A2-A5E0-7F395AD99FF2},3532.1839175465,619898.154620531
104,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{51C04D11-2EB9-41DE-A0A6-AFA2747811FB},4439.32234085682,706840.133388098
105,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{B342EC15-3C1F-4711-90BC-CC68C42F423D},3256.99835904386,583926.209293527
106,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{26D03ED6-0BEF-4466-818F-1AFA030842C1},5486.24162046727,1436493.85442727
107,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{4F8B1695-7335-44D0-BD79-4B48A07A675F},6042.92774699745,2257640.22234091
108,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{70048D30-4A7D-490F-81DB-EC08AA053419},6083.08633748661,2581820.00690757
109,7H,Hudson Plains,Hudson Plains,Plaines hudsoniennes,,{AB7FA52B-8D09-4D7A-B9AB-352BF5A501CE},8851.71186962194,4297069.28069434
110,7H,Hudson Plains,Hudson Plains,Plaines hudsoniennes,,{5F76EC9C-03D6-44FE-926E-86217059206F},6703.00761426067,2579298.08686617
111,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{BE947532-5065-460A-957D-217BA85E6FF3},142686.266663579,157472397.415528
112,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{62AD5D5C-6AFC-4290-BEC6-CD0A9C5BAD9B},10945.808749638,2487378.692917
113,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{B551857D-AC65-483D-A03A-57019348BF11},14835.193605831,4575183.68726329
114,3S,Southern Arctic,Southern Arctic,Plaine artique sud,,{B13BA5D7-3033-42D7-BD2C-774A1C5FD2EE},13670.4606364084,6869873.9934196
115,7H,Hudson Plains,Hudson Plains,Plaines hudsoniennes,,{E1DC57FC-321E-4F4C-B32D-0F687E3EB000},3148.36538795662,545096.188058847
116,7H,Hudson Plains,Hudson Plains,Plaines hudsoniennes,,{79EF8CC9-D575-4217-8D09-7B30AA549C7C},4240.20669609956,523321.993915393
117,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{57338CBC-0BE4-4ADB-A8D1-3064F297AAF3},4289.59145259281,902062.276144914
118,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9024753A-9211-4DDD-92E9-58218228F835},5279.86290753394,1366523.19847712
119,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{A52C0B7B-EA9D-4050-B309-27BD18D08EB3},3808.7093484061,868033.273818562
