running_number,section,section_id,subsection,subsection_id,element,element_id,element_placeholder,element_type,details,suggestions,optional,inference,prediction,projection,rmm_fields,rmm_entities,rmm_family,homology_odmap_rmm,field_relevance,static_fields
1,Overview,o,Authorship,o_authorship,Study title,o_authorship_1,Study title,text_details,"It can be journal paper title, insttutional initiavite, project, etc. For instance, ""Canada-wide boreal land bird density estimates (version 4.0)""",,0,1,1,1,authorship,rmmName,,,1,0
2,Overview,o,Authorship,o_authorship,Author names,o_authorship_2,Author names,author,,,0,1,1,1,authorship,names,base,1,1,0
3,Overview,o,Authorship,o_authorship,Contact ,o_authorship_3,Main author contact email address,text,,,0,1,1,1,authorship,contact,base,1,2,0
4,Overview,o ,Authorship,o_authorship,Authors/contributors,o_authorship_4,List of addtional authors/contributors,text_details,You might want to copy and paste text to include all authors and contributors (an alternative to add one by one using the 'Add new author' field above).,,,,,,,,,,,
5,Overview,o,Authorship,o_authorship,Study link,o_authorship_5,"Link to study if applicable (DOI, web address)",text_details,"For instance, DOI (https://orcid.org/0000-0001-7337-1740) and website (https://borealbirds.ca/)",,0,1,1,1,,,,,3,0
1,Overview,o,Model objective,o_objective,Model objective,o_objective_1,"Identify the main model objective. Is your model for explanation (inference), prediction (mapping interpolation) or projection (forecast, backcast, transfer).",objective,,,0,1,1,1,,,,,1,0
2,Overview,o ,Model objective,o_objective,Model objective,o_objective_2,"Model description, context, scope. What would you like evaluators to know about your model in order to interpret the results?",text_details,"For instance, 1. Predicitons: BAM models were produced for the purpose of modelling the distribution and abundance of ~143 breeding land birds in the boreal forest across Canada, for years 1991 to 2018, at spatial resolution ~ 1Km2. Separate models were constructed for each of 16 separate spatial subunits consisting of bird conservation regions (BCRs) intersected with Canadian jurisdictional boundaries.  In total, we sampled data from 296,061 point counts across Canada (across a total of 256,316 site locations and 175 distinct projects). We used 219 spatially explicit environmental covariates. We implemented boosted regression tree (BRT) models (32 BRT outputs per species and subregions).; 2) Testing hypotheses: Anderson et al. (2099)  tested hypotheses about the mechanisms driving species range shifts under climate change or Peterson et al (2018) tested how different methodological choices in SDM construction (e.g., choice of algorithm, predictor variables, background extent) influence the robustness and transferability of climate change projections, and thus the resulting predictions about species persistence or shifts. 3) Forecasting: Feeley & Silman (2018) used  SDMs to project future distributions while incorporating crucial ecological processes often overlooked in simpler models, such as dispersal limitations and more nuanced species responses to environmental change. Backsting: Maiorano et al. (2020) used SDMs for backcasting species distributions into the past (e.g., LGM), seeking to reconcile these model-based reconstructions with independent palaeo-ecological records (like fossil pollen or macrofossil data).",,0,1,1,1,,,,,1,0
1,Overview,o,Model utility,o_utility,Model potential utility,o_utility_1,Please select the potential utility(ies) of your model. Add this Shiny app model_utility.qmd to this template,model_utility,,,0,1,1,1,,,,,1,0
1,Overview,o,Outputs,o_outputs,Target outputs,o_outputs_1,Please identify the main target outputs from your models (Predictions and/or Uncertainty),suggestion,,"Species absolute abundances, Species relative abundances, Suitable habitats, Uncertainty, Unsuitable habitats",0,0,1,1,studyObjective,"rangeType,invasion,transfer,populationType",base,0,2,0
2,Overview,o ,Outputs,o_outputs,Derived outputs,o_outputs_2,Please select the derived outputs (if any) that you are planning to build based on SDMs ouptuts,suggestion,,"Species Habitat Index (SHI), Species Protection Index (SPI)",0,0,1,1,,,,,3,0
1,Overview,o,Focal Taxon,o_taxon,Focal Taxon,o_taxon_1,Focal taxon (Main biodiversity taxonomic 'Classes'),suggestion,,"Animalia: Mammalia (Humans-whales-bats), Animalia: Aves (Sparrows-eagles), Animalia: Reptilia (Snakes-lizards), Animalia: Amphibia (Frogs-salamanders), Animalia: Actinopterygii (Salmon-goldfish), Animalia: Chondrichthyes (Sharks-rays), Animalia: Agnatha (Lampreys), Animalia: Insecta (Butterflies-beetles), Animalia: Arachnida (Spiders-scorpions), Animalia: Crustacea (Crabs-lobsters), Animalia: Chilopoda (Centipedes), Animalia: Diplopoda (Millipedes), Animalia: Gastropoda (Snails-slugs), Animalia: Bivalvia (Clams-mussels), Animalia: Cephalopoda (Octopuses-squids), Animalia: Asteroidea (Starfish), Animalia: Echinoidea (Sea urchins), Animalia: Holothuroidea (Sea cucumbers), Plantae: Magnoliopsida (Roses-oaks), Plantae: Liliopsida (Grasses-lilies), Plantae: Pinopsida (Pines-firs), Plantae: Bryopsida (Mosses), Plantae: Marchantiopsida (Liverworts), Plantae: Polypodiopsida (Ferns), Fungi: Agaricomycetes (Mushrooms-bracket fungi), Fungi: Saccharomycetes (Yeasts), Fungi: Eurotiomycetes (Aspergillus), Fungi: Sordariomycetes (Fusarium-Neurospora), Protista: Bacillariophyceae (Diatoms), Protista: Chlorophyceae (Green algae), Protista: Phaeophyceae (Brown algae), Protista: Ciliophora (Paramecium), Protista: Dinophyceae (Dinoflagellates)",0,1,1,1,,,,,1,1
2,Overview,o,Focal Taxon,o_taxon,Focal taxon rationale,o_taxon_2,"Species (Common name, Scientific name, Code). Add the Shiny app birds_names.qmd to this template",species_names,,,0,1,1,1,,,,,3,1
1,Overview,o,Location,o_location,Location,o_location_1,Country of the study area.,suggestion,,"Aruba, Afghanistan, Angola, Anguilla, Albania, Finland, Andorra, United Arab Emirates, Argentina, Armenia, American Samoa, Antarctica, Australia, French Southern and Antarctic Lands, Antigua, Barbuda, Austria, Azerbaijan, Burundi, Belgium, Benin, Burkina Faso, Bangladesh, Bulgaria, Bahrain, Bahamas, Bosnia and Herzegovina, Saint Barthelemy, Belarus, Belize, Bermuda, Bolivia, Brazil, Barbados, Brunei, Bhutan, Botswana, Central African Republic, Canada, Switzerland, Chile, China, Ivory Coast, Cameroon, Democratic Republic of the Congo, Republic of Congo, Cook Islands, Colombia, Comoros, Cape Verde, Costa Rica, Cuba, Curacao, Cayman Islands, Cyprus, Czech Republic, Germany, Djibouti, Dominica, Denmark, Dominican Republic, Algeria, Ecuador, Egypt, Eritrea, Canary Islands, Spain, Estonia, Ethiopia, Fiji, Falkland Islands, Reunion, Mayotte, French Guiana, Martinique, Guadeloupe, France, Faroe Islands, Micronesia, Gabon, UK, Georgia, Guernsey, Ghana, Guinea, Gambia, Guinea-Bissau, Equatorial Guinea, Greece, Grenada, Greenland, Guatemala, Guam, Guyana, Heard Island, Honduras, Croatia, Haiti, Hungary, Indonesia, Isle of Man, India, Cocos Islands, Christmas Island, Chagos Archipelago, Ireland, Iran, Iraq, Iceland, Israel, Italy, San Marino, Jamaica, Jersey, Jordan, Japan, Siachen Glacier, Kazakhstan, Kenya, Kyrgyzstan, Cambodia, Kiribati, Nevis, Saint Kitts, South Korea, Kosovo, Kuwait, Laos, Lebanon, Liberia, Libya, Saint Lucia, Liechtenstein, Sri Lanka, Lesotho, Lithuania, Luxembourg, Latvia, Saint Martin, Morocco, Monaco, Moldova, Madagascar, Maldives, Mexico, Marshall Islands, North Macedonia, Mali, Malta, Myanmar, Montenegro, Mongolia, Northern Mariana Islands, Mozambique, Mauritania, Montserrat, Mauritius, Malawi, Malaysia, Namibia, New Caledonia, Niger, Norfolk Island, Nigeria, Nicaragua, Niue, Bonaire, Sint Eustatius, Saba, Netherlands, Norway, Nepal, Nauru, New Zealand, Oman, Pakistan, Panama, Pitcairn Islands, Peru, Philippines, Palau, Papua New Guinea, Poland, Puerto Rico, North Korea, Madeira Islands, Azores, Portugal, Paraguay, Palestine, French Polynesia, Qatar, Romania, Russia, Rwanda, Western Sahara, Saudi Arabia, Sudan, South Sudan, Senegal, Singapore, South Sandwich Islands, South Georgia, Saint Helena, Ascension Island, Solomon Islands, Sierra Leone, El Salvador, Somalia, Saint Pierre and Miquelon, Serbia, Sao Tome and Principe, Suriname, Slovakia, Slovenia, Sweden, Swaziland, Sint Maarten, Seychelles, Syria, Turks and Caicos Islands, Chad, Togo, Thailand, Tajikistan, Turkmenistan, Timor-Leste, Tonga, Trinidad, Tobago, Tunisia, Turkey, Taiwan, Tanzania, Uganda, Ukraine, Uruguay, USA, Uzbekistan, Vatican, Grenadines, Saint Vincent, Venezuela, Virgin Islands, Vietnam, Vanuatu, Wallis and Futuna, Samoa, Yemen, South Africa, Zambia, Zimbabwe",0,1,1,1,,,,,1,0
2,Overview,o ,Location,o_location,Location,o_location_2,"Planning and/or managing unit(s) (e.g., Birds conservation Regions (BCRs), Ecoregions, protected Areas (PAs), etc.). Please ads the management_units.qmd to this Shiny app",management_units,,,0,1,1,1,,,,,2,0
1,Overview,o,Scale of Analysis,o_scale,Spatial extent,o_scale_1,"Bounding box (i.e., spatial extent: Longitude/Latitude)",extent,,,0,1,1,1,,,,,2,0
2,Overview,o,Scale of Analysis,o_scale,Spatial resolution,o_scale_2,Spatial resolution (one dimension of the grain/cell size in meters),text_details,"This is the one dimension (in meters) to calculate the area covered on the ground and represented by a single pixel. It is a single number (e.g., 300) and it is assummed that the cell is almost squared. So, the area of the pixel will be 300m x 300m (~90,000m2, ~ 0.09 Km2). Notice that the spatial resolution of the analysis might be different from the original covariates spatial resolution. For instance, covariates at multiple spatial resolutions were aggregated to a common and coarse spatial resolution.",,1,1,1,1,,,,,1,0
3,Overview,o,Scale of Analysis,o_scale,Temporal extent,o_scale_3,Temporal extent / time period (Year(s) for covariates and observations). Add the Shiny app years_qmd to this template.,years,,,0,1,1,1,data$occurrence,"yearMin,yearMax",base,1,1,0
4,Overview,o,Scale of Analysis,o_scale,Temporal resolution,o_scale_4,Temporal resolution (frequency with which data or measurements are collected over time),suggestion,,"Daily, Weekly, Montlhy, Yearly, Seasonally, Unknown",1,1,1,1,,,,,3,0
1,Overview,o,Biodiversity data,o_bio,Biodiversity data type,o_bio_1,"Biodiversity data type: select from the list (or add new options), and provide source (web, repo)",datatype_source,,"Presence-only, Presence/Absence, Point occurrence, Counts, Richness, Integration of aeral and point data",0,1,1,1,data$occurrence,dataType,base,1,1,0
1,Overview,o,Assumptions,o_assumptions,Model assumptions,o_assumptions_1,Select the most important model assumptions you encountered and the solutions you implemeneted.,assumptions,,"species-covariates correlations, equilibrium and habitat saturation, dispersal and landscapes, biotic interactions, adaptation and evolution",0,1,1,1,,,,,1,0
1,Overview,o,Model,o_model,Type of model,o_model_1,Type of model,suggestion,,"Correlative/Regression-SDMs, Mechanistic/Process_based-SDMs, Ensemble-SDMs, Community-level models (CLMs), Joint SDMs, Multi-state SDMs, Dynamic SDMs, Occupancy detection models, Spatially nested SDMs (N-SDMs),  Stacking of species-distribution models (S-SDMs)",0,1,1,1,,,,,1,0
1,Overview,o,Algorithms,o_algorithms,Modelling techniques,o_algorithms_1,Modelling techniques used (algorithms implemented),model_algorithm,,"Maximum entropy modeling (MAXENT), Point Process Models (PPMs), Generalized Linear Models (GLMs), Multivariate Adaptive Regression Splines (MARS), Boosted Regression Trees (BRTs), BIOCLIM (Climate envelop model ), Artificial Neural Networks (ANN), Generalized Additive Models (GAMs), Flexible Discriminant Analysis  (FDA), Random Forest (RF), Range Bagging (RB), Occupancy models (OMs)",0,1,1,1,,,,,1,0
1,Overview,o,Workflow,o_workflow,Model workflow,o_workflow_1,"Conceptual description of modelling steps including model fitting, assessment and prediction",text,,,0,1,1,1,,,,,3,0
2,Overview,o,Workflow,o_workflow,Model workflow,o_workflow_2,"Conceptual description of modelling steps including model fitting, assessment and prediction",figure_upload,,,0,1,1,1,,,,,3,0
