Concept,Definition
Absence data,"""Datasets containing “records” of places where sampling has occurred but the taxon has not been documented. Typically used to characterize information on the predictor variables found at such sites (and compare this with information for sites where the taxon’s presence has been documented)."" (Araujo et al. 2019)."
Accuracy,"The degree to which data or model prediction/projection match the reality of a taxon’s""  (Araujo et al. 2019). It ""quantifies the overall ability of the model to correctly classify both presences and absences"" (Lazagabaster et al. 2024)."
Adaptation and evolution," ""Ecological niche models also assume niche conservatism (38), the notion that the niche envelope is a fixed and immutable characteristic of a species, unchanging over space and time"" (Wiens et al. 2009)."
AIC (Akaike Information Criterion),"AIC provides a way to quantify the trade-off between model fit and complexity in SDMs, making it a useful tool for model selection and evaluation (Aho et al. 2016, Leroux 2019,  Tredennick et al. 2021, Sutherland et al. 2023). In general, lower AIC values indicate a better-fit model."
Algorithm,"An algorithm is a finite sequence of mathematically rigorous instructions. An algorithm is ""a set of mathematical rules that can be followed to produce an outcome. For example, iterative weighted least squares is an algorithm that can be used to find the maximum likelihood solution for a GLM. In the literature, the term has sometimes been incorrectly confused with the models that are to be fitted."" (Araujo et al. 2019)."
Algorithm settings,"""Algorithm settings, or hyperparameters, are parameters that control how the training process itself is carried out. They are not learned from data but are set by the model designer before training. In a neural network, hyperparameters include the learning rate, the number of epochs, the batch size, and the activation function. Algorithm settings influence the speed, accuracy, and stability of the training process. They can impact whether the model converges, overfits, or underfits the data. Algorithm settings provide control over the model's learning process and help optimize performance. "" (Goolge 2025)."
Algorithmic uncertainity,"Algorithmic uncertainty refers to the inherent uncertainty within an algorithm itself, or the uncertainty introduced during its execution. It encompasses various factors like data quality, algorithm sensitivity, and inherent randomness in some algorithms. In essence, it's the potential for unexpected outcomes or errors due to the algorithm's implementation or the data it uses"
ANN (Artificial Neural Networks),"""ANN (Artificial Neural Networks) Neural networks can capture complex relationships in the data. ""ANN) are computational algorithms that model and predict by connecting nodes of information (called neurons) that imitate connections between biological neurons. Neurons are organized into three different layers: input, hidden and output. The input layer has one neuron for each predictor variable in the model and the output layer has a neuron for each response variable. Neurons in the hidden layer allow for interaction effects between predictor variables and the analyst can choose the number of interactions in the network by increasing the number of neurons in this layer as well as adding additional hidden layers"" (Nieto et al. 2017)."
API,"An API, or Application Programming Interface, is a set of rules and protocols that allows different software applications to communicate and exchange data."
Appropriatness of the model,"The ""appropriateness of a model"" refers to whether a particular model is suitable for a given task or data. It involves assessing if the model's assumptions are met, its performance is adequate, and it provides meaningful insights for the intended purpose."
Assumptions,"assumptions are statements taken as true without proof, often used to simplify complex systems or make predictions"
AUC (area under the curve),"AUC values are “the probability that a random positive instance and a random negative instance are correctly ordered by the classifier.” (Phillips et al., 2006 ). AUC values above 0.75 are considered potentially useful (Elith. 2002 and Phillips and Dudík 2008). AUC values(auc.val.avg) = 0.97. See also Konowalik & Nosol et al. 2021."
Background data,"Data sets for places across the study area (the ‘background’), whether or not sampling has occurred, and whether or not the taxon of interest has been found. Typically used to characterize predictor variables of such sites (and compare it with that for sites where the taxon’s presence has been documented). Contrast with Pseudo-absence data"" (Araujo et al. 2019)."
Bias (in response data),"""The systematic variation in the probability that sites (or types of sites) have been sampled. Often, such bias corresponds to accessibility for researchers (in geographic space) and often it also leads to sampling bias in environmental space"" (Araujo et al. 2019)."
Bias (of a statistic or model),"""A systematic (i.e., directional) difference between the true value of a statistic and the estimate. Contrast with Sampling bias"" (Araujo et al. 2019)."
BIC (Bayesian Information Criterion),"""The Bayesian Information Criterion (BIC) is a model selection tool used in Statistical Distribution Models (SDMs) to help choose the best model from a set of candidate models. BIC balances the model's fit to the data with its complexity, penalizing models with a larger number of parameters to avoid overfitting. The model with the lowest BIC value is generally preferred."""
Binary predicitons,"Type of predciitons where there are to types of outcomes (e.g., suitable and unsuitable habitat). It is usually a byproduct of reclassifying model predcitions, using a threshold (e.g., areas gretaer thatn 0.75 are onsider suitable)."
bioclim,Climate envelop model (see Booth et al. 2013)
Biotic interactions," ""Most niche models implicitly assume that biotic communities are Gleasonian, each species responding independently to the environmental factors that determine its niche space, and thus its habitat occupancy and distribution"" (Wiens et al. 2009)"
Boyce,"""It evaluates the model's predictive performance by comparing the observed presences against a background of predictions""  (Lazagabaster et al. 2024)."
BRTs (Boosted Regression Trees),"""Boosted Regression Trees (BRTs) are a powerful machine learning method used in Species Distribution Modeling (SDMs) to predict where a species is likely to occur based on environmental variables. They combine the strengths of regression trees, which create models by recursively splitting data based on predictor variables, and boosting, which combines multiple weak models to improve predictive performance."" (e.g., Yu et al 2020, Elith et al. 2008)"
citizen science data,"""Citizen science data refers to information collected by members of the public who participate in scientific research projects alongside professional scientists."" (e.g., Hoef et al. 2021, Matutini et al 2021,  Mondain-Monval et al. 2024)"
CLMs (Community-level models),"“Community-level models simultaneously model multiple species, including rare species, while reducing overfitting and implicitly considering drivers of co-occurrence. Many CLMs are direct extensions of well-known SDMs and therefore should be familiar to ecologists”  (e.g., Nieto et al. 2017)."
Coefficients,"""In the context of a Species Distribution Model (SDM), a ""coefficient"" refers to a numerical value that quantifies the strength and direction of the relationship between a predictor variable (like temperature or elevation) and the presence or absence of a species at a given location"". By analyzing the coefficients, researchers can understand which environmental factors are most important in driving species distribution and how those factors affect the species' habitat suitability. (see Doser et al. 2024)"
Commision error,"""Predicting a species to be present at location where it is in fact absent (false positive)."" (Lee-Yaw et al. 2021)"
counts,"Counts refer to species surveys where observers record the number of individuals seen or heard within a specific area or during a set time period, often used to monitor populations and understand species abundances. point occurrence: refers to the actual location where a species is observed. "
Covariates,"Also known as predictor variables, covariates are environmental variables that are used to predict the likelihood of a species' occurrence at a given location. These variables, often derived from remote sensing data or geographical databases, are thought to influence a species' distribution."
Cross-validation method,"Cross-validation is a crucial technique for evaluating and selecting the best hyperparameter settings for Species Distribution Models (SDMs). It helps determine how well a model generalizes to unseen data by comparing different hyperparameter combinations and identifying the most effective one.  ""Cross-validation represents a prevalent approach to assess the discrimination capacity of a target SDM algorithm and determine its optimal parameters"" (Huang et al. 2024)."
Data cleaning,"""Data cleaning for Species Distribution Models (SDMs) involves preparing data to ensure it is accurate, complete, and consistent before modeling. This process addresses issues like missing values, outliers, incorrect data entry, and duplicated records, which can significantly affect the model's accuracy and reliability."" (Google 2025)."
Data partitioning,"It refers to dividing a dataset into subsets before building and evaluating the model. for instance, Partitioning data into training and testing sets to evaluate how well the model performs on unseen data. Methods range from non-spatial partitioning (e.g., random k-fold, jacknife) to spatial based on geographic regions to account for spatial autocorrelation or regional differneces. (Goolge 2025)."
Detection probability,It is  the likelihood of observing a species at a particular location when it is actually present.
DIC (Deviance Information Criterion),"""a model selection criterion used to compare and rank different models based on their predictive performance. It is particularly useful for hierarchical models, which often include latent variables and mixtures of distributions. DIC helps identify the model that best balances goodness-of-fit with model complexity"" (Google 2025). DIC is a hierarchical modeling generalization of the AIC and the Bayesian Information Criterion (BIC). (Dutra et al. 2017)."
Discrimination ability,"""The ability of a SDM to correctly distinguish observed presences and absences of a species across the study region."" (Lee-Yaw et al. 2021)"
Dispersal and landscapes,"""The assumption that locations within the environmental niche space of a species will be occupied requires that individuals will be able to disperse to suitable locations"" (Wiens et al. 2009)"
DOI (Digital Object Identifier),"Digital Object Identifier is a unique, persistent identifier assigned to a digital object, like a journal article or dataset. It's a string of numbers, letters, and symbols that helps researchers and others locate and cite specific online content."
Downscaling,"Downscaling refers to the process of transforming coarse-scale climate information, typically global climate model output, into fine-scale climate information"
Dynamic SDMs,Dynamic models “represent temporal variations in the environment that match the timing and location of species occurrence leading to improved predictions of species distributions while reducing over prediction” (Srivastava & Carroll 2023). See also Andrew & Fox 2020. 
Ensemble modelling,"It combines multiple individual models to create a more acurate and robust predcitive model (e.g., Harris et al 2023)"
Equilibrium and Habitat Saturation," ""Using current environmental correlates of a species' distribution to project its future occurrence also assumes that the current distribution is in equilibrium—suitable habitat is fully occupied or “saturated"" (Wiens et al. 2009)."
Error propagation,"""..is the uncertainty produced by the calculations or systems that combine errors from multiple sources"" (Lo 2005). ""Error propagation is the calculation of statistical error in a quantity that comprises multiple components each with associated error. Such quantities constitute the end point of many ecological studies, but composite errors are rarely incorporated so that uncertainty in the final estimate is either unknown or underestimated."" (Blukacz et al, 2005)."
Evaluators,"Evaluators come from multiple disciplines and expertises and provide actionable feedback to models' inputs, outputs and metadata. For instance, evaluators can be taxonomic (e.g., birds) and survey experts that possess a deep knowledge and understanding of the ecology, biology and the geographic/environmental context of the species. Their knowledge allows them to review part of and/or the entire model, providing feedback to modelers. Evaluators can also review specific parts of the model. For instance, statisticians can review how modelers treated data sets (e.g., aggregating observations) and also assess the appropriateness of statistical analysis and the rigor in meeting statistical assumptions. Other modelers, unrelated to the model’s design, can play a significant role in providing feedback on specific aspects of the models (e.g., alternative algorithms, model tuning, etc.). Resource managers can evaluate information needs for multiple applications (e.g., forest management, habitat conservation, co-benefits) when confronting model outputs. They also can assess the risk of implementing a specific scenario due to a certain level of uncertainty."
Extrapolation,"The process of making predictions beyond the range of the data set used to fit the model. (e.g., Elith & Leathwick 2009, Velazco et al. 2023)"
False positive rate (FPR),"""Measures the proportion of actual negatives that are incorrectly classified as positives"" (Lazagabaster et al. 2024)."
FDR (False discovery rate),"""Measures the proportion of positive results that were false positives""  (Lazagabaster et al. 2024)."
field survey data,"It is ""a method of data collection that involves gathering information, observations, or responses by physically visiting a specific location or area, typically in a natural setting."" (Goolgle, 2025)"
Fixed and random effect method,"""In Species Distribution Models (SDMs) with nested data, fixed and random effects are used to account for hierarchical structures and potential sources of variation. Fixed effects represent the average effects of variables across all levels, while random effects allow for varying effects across different groups or levels within the data"" (Google, 2025, see also Schielzeth & Nakagawa)."
FNR (False negative rate),"""Measures the proportion of actual positives that are incorrectly classified as negatives"" (Lazagabaster et al. 2024). A high false negative rate means the model is missing many positive occurrences, which can be problematic in applications like conservation planning or pest management. "
Forecast and transfer,"Projection definition from Araujo et al. (2019): “Projection extends these models to estimate suitable areas in the past or future and/or in different regions"""
GAMs (Generalized Additive Models),"""GAMs (Hastie and Tibshirani, 1986, Hastie and Tibshirani, 1990) are semi-parametric extensions of GLMs; the only underlying assumption made is that the functions are additive and that the components are smooth. A GAM, like a GLM, uses a link function to establish a relationship between the mean of the response variable and a ‘smoothed’ function of the explanatory variable(s). The strength of GAMs is their ability to deal with highly non-linear and non-monotonic relationships between the response and the set of explanatory variables. GAMs are sometimes referred to as data- rather than model-driven. This is because the data determine the nature of the relationship between the response and the set of explanatory variables rather than assuming some form of parametric relationship (Yee and Mitchell, 1991). Like GLMs, the ability of this tool to handle non-linear data structures can aid in the development of ecological models that better represent the underlying data, and hence increase our understanding of ecological systems."" (Guisan et al. 2002)."
Geo-referencing errors,"""Georeferencing errors occur when a map or image is not accurately aligned with real-world coordinates. Common sources of error include inaccurate control points, incorrect coordinate entry, misinterpretations of scales/units, and using inappropriate transformation methods. Other issues can arise from distortions in the original data, such as drafting errors or distortions during printing or digitization"" (Google 2025)."
GLMs (Generalized linear models),"""GLMs are mathematical extensions of linear models that do not force data into unnatural scales, and thereby allow for non-linearity and non-constant variance structures in the data (Hastie and Tibshirani, 1990). They are based on an assumed relationship (called a link function; see below) between the mean of the response variable and the linear combination of the explanatory variables. Data may be assumed to be from several families of probability distributions, including the normal, binomial, Poisson, negative binomial, or gamma distribution, many of which better fit the non-normal error structures of most ecological data. Thus, GLMs are more flexible and better suited for analyzing ecological relationships, which can be poorly represented by classical Gaussian distributions (see Austin, 1987)."" (Guisan et al. 2002)"
Habitat suitability,"""The ability and degree to which environmental conditions can support viable populations"" (Lee-Yaw et al. 2021)."
Hypotheses,"""In the context of Species Distribution Models (SDMs), a hypothesis is a proposed explanation for the relationship between a species' distribution and its environment. It's an educated guess about how a species might respond to changes in its environment or where it might be found under different conditions."" (Google, 2025). There are also hypotheses used and tested to improve SMDs performance (e.g., Cooper & Soberon 2017, Mendes et al. 2020)."
Independent data,"""Measurements of geographic range, occurrence, abundance, population mean fitness or genetic diversity collected independently of occurrence records used to build SDMs. Ideally does not include spatial or other biases, and are collected from sites spanning the full range of SDM predictions."" (Lee-Yaw et al. 2021)."
Inference and explanation,"Explanation definition from Araujo et al. (2019): ""Explanation investigates the statistical relationships between species distributions and the environment, providing hypotheses (and sometimes testing them) regarding the environmental factors that account for species distributions"" (Araujo et al. 2019)."
Joint SDMs,"Joint models are multivariate extensions of SDMs, modelling multiple species and  taking into account both biotic (species interactions) and abiotic factors (e.g., Poggiato et al. 2021, Ovaskainen et al. 2017, Stephenson et al. 2022, Vijanen et al. 2024). "
Kappa,"""Kappa statistic is used to assess the agreement between predicted and observed presence/absence data. It measures the degree of agreement beyond what would be expected by chance. Higher Kappa values (closer to 1) indicate better agreement and a more reliable model, while values closer to 0 or negative values suggest poor agreement."" (Google 2025, e.g., Duan et al. 2014)."
Mapping and interpolation ,Predictions definition from Araujo et al. (2019): “Prediction” uses modeled species-environment relationships to map potential distributions in the same time period and geographical region.
MARS (Multivariate Adaptive Regression Splines),"""Multivariate Adaptive Regression Splines (MARS) is a non-parametric regression technique used for modeling complex, nonlinear relationships between multiple input variables and a response variable. It automatically identifies and incorporates interactions between variables, unlike traditional linear regression models, making it suitable for capturing non-linear and complex data patterns"" (Google 2025)."
maxent,"Maxent, which stands for maximum entropy modelling, predicts species occurrences by finding the distribution that is most spread out, or closest to uniform, while taking into account the limits of the environmental variables of known locations (see Elith et al. 2011, Phillips et al. 2006, Phillips et al. 2017)"
Misidentification potential,"Species misidentification, a type of false-positive error, can occur when a species is incorrectly recorded as being present in a location where it is actually absent. This can lead to significant biases in population estimations and conservation efforts. (Costa et al. 2015)."
Model,"""a model refers to a simplified representation of an ecological system, often mathematical, used to understand complex interactions and predict outcomes."" (Google 2025)"
Model averaging,"Model averaging refers to the practice of using several models at once for making predictions or for inferring parameters (Dormann et al. 2018, Dormann 2018)"
Model complexity,"Model complexity in Species Distribution Models (SDMs) refers to the degree of intricacy and number of parameters within a model, interactions between variables, and the type of statistical method used (name structural complexity). It impacts its ability to accurately predict species distributions and potentially leading to overfitting or difficulties in interpretation (e.g., Merow et al. 2014, Galante et al. 2017, Caradima et al. 2019,  Brun et al. 2019, Laxton et al. 2022, Moudrý et al. 2024)."
Model fitting,"""Model fitting is at the heart of any SDM application. Important aspects to consider during the model fitting step are:
How to deal with multicollinearity in the environmental data?
How many variables should be included in the model (without overfitting) and how should we select these?
Which model settings should be used?
When multiple model algorithms or candidate models are fitted, how to select the final model or average the models?
Do we need to test or correct for non-independence in the data (spatial or temporal autocorrelation, nested data)?
Do we want to threshold the predictions, and which threshold should be used?"" Zurrell, see also Muscatello et al. 2020"
Model parametrizaion,"""Model parameters are the internal variables that the model uses to make predictions. They are learned or estimated from the training data using an optimization algorithm. In linear regression, parameters include the coefficients and intercept that determine the relationship between the input features and the target variable. In neural networks, parameters are the weights and biases of the connections between neurons. Model parameters define the model's structure and its ability to generalize to new, unseen data. "" (Google 2025)."
Model selection,"""In Species Distribution Models (SDMs), model selection involves choosing the best model from a set of candidate models that accurately predicts a species' distribution. This process considers various factors, including the model's fit to the data, its generalizability to new data, and its complexity. Model selection in SDMs typically involves comparing different model types, parameter configurations, and predictor variables to identify the most suitable model for a specific species and dataset."" (Google 2025, see also Stevens & Conway 2019)"
Model settings,"""In the context of Species Distribution Models (SDMs), ""model settings"" refers to the parameters and configurations that dictate how the model is built and used to predict species distributions. These settings influence the model's behavior, accuracy, and suitability for a particular purpose."" (Google 2025)"
Multi-state SDMs: ,"Multi-state models account for different habitat types of species-specific importance” (e.g., Frans et al. 2017)."
Multicollinearity,"Multicollinearity ""is a common feature of any descriptive ecological data set and can be a problem for parameter estimation because it inflates the variance of regression parameters and hence potentially leads to the wrong identification of relevant predictors in a statistical model"" (e.g., Dormann, et al. 2013,  see also De Marco & Corrêa 2018)."
Nested data,"Nested data refers to data structures where one element contains other data structures within it, creating a hierarchy of information."
Nestedness in sampling,"Nestedness ""involves sampling from a population in stages, with each stage being nested within the previous one. This hierarchical approach allows for a more efficient and precise study of subgroups or segments within a larger population. Nested sampling is often used to gather more qualitative data from specific subgroups than would be possible with a simple quantitative sample."""
Niche truncation,"Niche truncation in Species Distribution Models (SDMs) refers to the issue of a species' ecological niche being incompletely or incorrectly represented in the model, leading to inaccurate projections of its distribution, particularly under changing environmental conditions. This occurs when the model is trained on data that doesn't capture the full range of environmental conditions a species can tolerate or occupy. (e.g., Chevalier et al. 2022, Chevalier et al. 2021)"
Novel climates,"Novel climates refer to regions where future climate conditions are predicted to be unlike any currently observed (Goolge 2025, see also Williams & Jackson 2007)."
Occupancy detection models,"Occupancy detection models can help modelers account for imperfect detection of individuals in a geographic area and determine the true occupancy and detection probabilities of a species in a site (e.g., Devarajan et al. 2020, Erickson et al. 2021, Shirey et al. 2022, Steenweg et al. 2019)."
Occurrences,"""Presence of a given species at a given site. Occurrence datasets can include both presences and absences."" (Lee-Yaw et al. 2021)."
Omission errors,"""Predicting a species to be absent from a location where it is in fact present (false negative)"" (Lee-Yaw et al. 2021)."
operational taxonomic units,
Performance statistics,"""Species Distribution Model (SDM) performance statistics evaluate how well a model predicts species ranges based on environmental data. Common metrics include AUC (Area Under the Receiver Operating Characteristic curve), TSS (True Skill Statistic), Kappa, and Boyce Index. These statistics help determine a model's accuracy, discrimination power, and reliability"" (Google 2025)."
Plausability check,
Positional uncertainty,"""Positional uncertainty (sometimes also referred to as positional error) in species occurrence data refers to inaccuracies or uncertainty in the recorded coordinates of where a species was observed or collected. This error can result from factors such as imprecise global navigation satellite systems (GNSS) measurements, data entry mistakes, or a lack of accurate location information."" (Moudrý et al. 2024)."
PPMs (Point Process Models),"""Point Process Models (PPMs) are a type of model used to analyze presence-only data, where only locations where a species is observed are available, and absence data is not. PPMs are particularly useful when dealing with spatial data where the locations of events (like species occurrences) are the primary information."" (Google 2025)."
Precision,"""Indicates the proportion of positive identifications that were actually correct""  (Lazagabaster et al. 2024)."
Predictions,"""The output of a SDM for each cell in the study region. Depending on model algorithm, SDM output may represent probability of occurrence, habitat suitability"" (Lee-Yaw et al. 2021) or species density."
Predictors,"Predictors are biotic and abiotic variables (covariates) used to explain and predict species distributions. These predictors are often chosen based on their potential to influence a species' presence or absence, such as temperature, precipitation, soil type, species interactions, land cover, elevation , etc."
presence only,"presence only refers to a dataset consisting only of these occurrence locations, without information about where the species is absent. It uses background points (pseudo-absences) for model fitting (e.g., Guillera et al. 2015, Renner et al. 2015, Valavi et al. 2021)."
presence/absence,presence/absence includes both locations where a species is present and absent. richness: number of species within a location.
Prevalence,"""Reflects the proportion of actual positives in the dataset""  (Lazagabaster et al. 2024)."
Proximal variables,
randomForest,"""Random Forest is an ensemble learning technique that builds multiple decision trees and combines their predictions. It's robust and can handle complex interactions between variables, making it suitable for SDMs."" (Google 2025, see also Valavi et al. 2021, Rongcheng et al. 2025)"
rangeBagging,"""Range bagging for species distribution modeling uses presence-only data to estimate environmental limits of a species' niche. In other words this method like other profile methods does not use absence data to compare presence locations with locations where the species is known not to occur, and it does not compare presence locations to random locations, it simply describes the environmental conditions found across all the areas the species is know to occur."" (EcoCommons 2023, see also Drake 2015)."
Raw data,"""In the context of a Scientific Data Management System (SDMS), ""raw data"" refers to the original data generated by instruments or experiments without any processing or transformation"" (Google 2025)."
Regularization,"""Regularization adds a penalty for overly complex models. This helps prevent the model from fitting the noise in the presence data. (Goolge 2025)."
Resampling,"""Resampling refers to a technique used to adjust the spatial or temporal distribution of data to improve model performance and accuracy. It involves modifying the original dataset, typically by adding or removing data points, to create a more balanced or representative sample for model training and evaluation"". (Goolge 2025)"
RMSE (Root Mean Squared Error),"""In Species Distribution Models (SDMs), Root Mean Squared Error (RMSE) is a common metric used to evaluate the accuracy of a model's predictions. It quantifies the average magnitude of the differences between the predicted and actual values of a variable. Specifically, it measures the standard deviation of the residuals, which are the differences between the predicted and observed values. (Google 2025)."
ROC (Receiver operating characteristic curve),"""ROC: Receiver operating characteristic curve. A curve drawn by graphing sensitivity versus 1-specificity at each possible threshold of occurrence."" (Lee-Yaw et al. 2021)."
Sample size,"the size of the data sample used to train and validate the model. Here, we define sample size as the total number of presences and absences (i.e. presence–absence data). When discussing studies based on presence–background data, we refer specifically to the number of presences."" (Moudrý et al. 2024)."
Sampling bias,"""When known occurrences of the species reflect vagaries associated with patterns of biological sampling (e.g. greater efforts near roads or biodiverse regions). This sampling bias in geographic space usually translates into a bias in environmental space."" (Soley-Guardia et al. 2024)"
SDM profiling,This approach “assesses the leverage that unsampled locations have on the overall model by exploring the interaction between the effect on the variable response curves and the prevalence of the affected environmental conditions” (Marsh et al. 2023).
SDMs (species distribution models),"SDMs are numerical tools that combine species occurrences (e.g., presence, presence/absence and counts) with covariates (environmental data sets related to species) to make spatially explicit predictions of habitat suitability or species density, using a variety of algorithms."
SDMs-Correlative,"Model the observed distribution of a species as a function of environmental conditions, using data on where a species is found and the environmental conditions at those locations (e.g., Elith & Leathwick 2009, Shabani et al. 2016)"
SDMs-Mechanistic,"Use independently derived information about a species' physiology and ecology to develop a model of the environmental conditions under which the species can exist. (e.g., Da Re et al. 2023, Shabani et al. 2016, Strubbe et al. 2023)."
Sensitivity,"""The proportion of observed presences that were correctly predicted to be present by the SDM."" (Lee-Yaw et al. 2021)."
Shinkrage,"""In the context of species distribution models (SDMs), shrinkage refers to a statistical technique that reduces the number of predictor variables in a model by ""shrinking"" or reducing the estimated regression coefficients for some variables towards zero, effectively deeming them less important or removing them entirely. This regularization helps to improve model performance, especially when dealing with high-dimensional predictor spaces and small sample sizes."" (Goolge 2025)."
Spatial autocorrelation,"""In Species Distribution Models (SDMs), spatial autocorrelation refers to the dependence between the distribution of a species and its surrounding environment. It essentially means that observations (e.g., species presence/absence) are more similar to each other at close distances than at distant ones. This pattern can violate the statistical assumption of independent observations, potentially limiting the predictive power of SDMs."" (Google 2025, see also Guélat & Kéry 2018)."
spatial data integration,"spatial data integration refers to integrating presence-only, presence–absence, abundance (e.g., Mäkinen et al. 2023, Gelfand & Shirota 2019, Foster et al. 2024)."
Spatial design,"""Sampling design refers to the approach used to collect species occurrence data. The sampling design is a crucial aspect of SDMs, as it should in principle ensure that the data include all relevant information to represent the ecological niche of the species and the environmental conditions in the study area. The quality and representativeness of the data collected directly impact the accuracy and reliability of the model."" (Moudrý et l. 2024)."
